م,المجال,السؤال,الإجابة
76,ألغاز,"ما هو الشيء الذي كلما كثر لدينا غلا، وكلما قل رخص؟",العقل
77,ألغاز,"اختك خالتك وليست خالتك، فمن تكون؟",أمك
78,ألغاز,"يسير بلا رجلين ولا يدخل إلا بالأذنين، فما هو؟",الصوت
79,ألغاز,ما هو الشيء الذي يوجد في وسط باريس؟,حرف الراء
80,ألغاز,"بيت ليس فيه أبواب ولا نوافذ، فما هو؟",بيت الشعر
81,ألغاز,ترى كل شيء وليس لها عيون؟,المرآة
82,ألغاز,ما هو الشيء الذي يقرصك ولا تراه؟,الجوع
83,ألغاز,شيء تحمله وفي نفس الوقت يحملك؟,الحذاء
84,ألغاز,"ابن أمك وأبيك، وليس بأختك ولا بأخيك، فمن هو؟",أنت
85,ألغاز,ما هو الشيء الذي له أسنان ولا يعض؟,المشط
176,ألغاز,ما هو الشيء الذي يكتب ولا يقرأ؟,القلم
177,ألغاز,"ما هو الشيء الذي يكون أخضر في الأرض، وأسود في السوق، وأحمر في البيت؟",الشاي
178,ألغاز,شيء كلما ذبحته بكيت عليه؟,البصل
179,ألغاز,ما هو البيت الذي لا يسكن فيه أحد؟,بيت الشعر
180,ألغاز,أين يقع البحر الذي لا يوجد فيه ماء؟,في الخريطة
181,ألغاز,"أخوان لا يستطيعان تمضية أكثر من دقيقة معاً، فمن هما؟",عقربا الساعة
182,ألغاز,ما هو الشيء الذي لا يبتل حتى لو دخل الماء؟,الضوء / الظل
183,ألغاز,"حامل ومحمول، نصفه ناشف ونصفه مبلول، فما هو؟",السفينة
184,ألغاز,"شيء تراه في الليل ثلاث مرات، وفي النهار مرة واحدة، فما هو؟",حرف اللام
185,ألغاز,ما هو الشيء الذي كلما أخذت منه كبر؟,الحفرة
276,ألغاز,ما هو الشيء الذي له عين ولا يرى؟,الإبرة
277,ألغاز,"شيء كلما زاد نقص، ما هو؟",العمر
278,ألغاز,ما هو الشيء الذي يكسو الناس وهو عارٍ؟,الإبرة
279,ألغاز,أين يقع البحر الذي لا يغرق فيه أحد؟,على الخريطة
280,ألغاز,ما هو القفص الذي لا يحبس فيه حيوان ولا طير؟,القفص الصدري
281,ألغاز,"شيء تحكله ويحملك، نصفه يابس ونصفه مبلول؟",السفينة
282,ألغاز,"ثلاثة عبروا الجسر، الأول رأى الجسر ومشى عليه، الثاني رأى الجسر ولم يمش عليه، الثالث لم ير الجسر ولم يمش عليه.. كيف؟",امرأة حامل تحمل ابنها الصغير على كتفها
283,ألغاز,ما هو الشيء الذي يقرصك ولا تراه؟,الجوع
284,ألغاز,شيء له أسنان ولا يعض؟,المشط
285,ألغاز,ما هو الشيء الذي كلما أخذت منه كبر؟,الحفرة
376,ألغاز,ما هو الشيء الذي يقرصك ولا تراه؟,الجوع
377,ألغاز,"شيء كلما أخذت منه كبر، وكلما وضعت فيه صغر؟",الحفرة
378,ألغاز,ما هو الشيء الذي يكسو الناس وهو عارٍ؟,الإبرة
379,ألغاز,أين يقع البحر الذي لا يوجد فيه ماء؟,في الخريطة
380,ألغاز,ما هو الشيء الذي له أسنان ولا يعض؟,المشط
381,ألغاز,"أخت خالك وليست خالتك، من تكون؟",أمك
382,ألغاز,شيء تحمله وفي نفس الوقت يحملك؟,الحذاء
383,ألغاز,ما هو الشيء الذي لا يبتل حتى لو دخل الماء؟,الضوء / الظل
384,ألغاز,شيء تراه في الظلام ولا تراه في النور؟,الظلام نفسه (أو النجوم)
385,ألغاز,ما هو الشيء الذي اسمه على لونه؟,البيض / البرتقال
476,ألغاز,ما هو الشيء الذي كلما زاد نقص؟,العمر / الحفرة
477,ألغاز,شيء تأكل منه مع أنه لا يؤكل؟,الطبق / الصحن
478,ألغاز,ما هو الشيء الذي يوصلك من بيتك إلى عملك دون أن يتحرك؟,الطريق
479,ألغاز,شهر ميلادي إذا حذفت أوله تحول إلى اسم فاكهة؟,تموز (حذف التاء = موز)
480,ألغاز,ما هو الشيء الذي لا بداية له ولا نهاية؟,الدائرة
481,ألغاز,"أنا ابن الماء وإذا تركوني في الماء مت، فمن أنا؟",الثلج
482,ألغاز,شيء تحمله ويحملك في نفس الوقت؟,الحذاء
483,ألغاز,ما هو الشيء الذي يوجد في الدقيقة مرتين وفي القرن مرة واحدة؟,حرف القاف
484,ألغاز,"أسمع بلا أذن وأتكلم بلا لسان، فمن أنا؟",الهاتف
485,ألغاز,ما هو الشيء الذي يقرصك ولا تراه؟,الجوع / البرد
576,ألغاز,ما هو الشيء الذي كلما زاد نقص؟,العمر
577,ألغاز,شيء تأكل منه مع أنه لا يؤكل؟,الصحن
578,ألغاز,ما هو الشيء الذي يكتب ولا يقرأ؟,القلم
579,ألغاز,أين يقع البحر الذي لا يوجد فيه ماء؟,في الخريطة
580,ألغاز,ما هو الشيء الذي له عين ولا يرى؟,الإبرة
581,ألغاز,"ابن أمك وأبيك، وليس بأختك ولا بأخيك، فمن هو؟",أنت
582,ألغاز,شيء تحمله وفي نفس الوقت يحملك؟,الحذاء
583,ألغاز,ما هو الشيء الذي لا يبتل حتى لو دخل الماء؟,الضوء
584,ألغاز,شيء تراه في الظلام ولا تراه في النور؟,الظلام نفسه
585,ألغاز,ما هو الشيء الذي اسمه على لونه؟,البيضة / البرتقالة
676,ألغاز,ما هو الشيء الذي يقرصك ولا تراه؟,الجوع
677,ألغاز,"شيء كلما أخذت منه كبر، وكلما وضعت فيه صغر؟",الحفرة
678,ألغاز,ما هو الشيء الذي يكسو الناس وهو عارٍ؟,الإبرة
679,ألغاز,أين يقع النهر الذي لا يوجد فيه ماء؟,في الخريطة
680,ألغاز,ما هو الشيء الذي له أسنان ولا يعض؟,المشط
681,ألغاز,"أخت خالك وليست خالتك، من تكون؟",أمك
682,ألغاز,شيء تحمله وفي نفس الوقت يحملك؟,الحذاء
683,ألغاز,ما هو الشيء الذي لا يبتل حتى لو دخل الماء؟,الضوء / الظل
684,ألغاز,شيء تراه في الظلام ولا تراه في النور؟,الظلام
685,ألغاز,ما هو الشيء الذي اسمه على لونه؟,البيض / البرتقال
776,ألغاز,ما هو الشيء الذي يقرصك ولا تراه؟,الجوع
777,ألغاز,"شيء كلما أخذت منه كبر، وكلما وضعت فيه صغر؟",الحفرة
778,ألغاز,ما هو الشيء الذي يكسو الناس وهو عارٍ؟,الإبرة
779,ألغاز,أين يقع النهر الذي لا يوجد فيه ماء؟,في الخريطة
780,ألغاز,ما هو الشيء الذي له أسنان ولا يعض؟,المشط
781,ألغاز,"أخت خالك وليست خالتك، من تكون؟",أمك
782,ألغاز,شيء تحمله وفي نفس الوقت يحملك؟,الحذاء
783,ألغاز,ما هو الشيء الذي لا يبتل حتى لو دخل الماء؟,الضوء / الظل
784,ألغاز,شيء تراه في الظلام ولا تراه في النور؟,الظلام
785,ألغاز,ما هو الشيء الذي اسمه على لونه؟,البيض / البرتقال
876,ألغاز,ما هو الشيء الذي يقرصك ولا تراه؟,الجوع
877,ألغاز,"شيء كلما أخذت منه كبر، وكلما وضعت فيه صغر؟",الحفرة
878,ألغاز,ما هو الشيء الذي يكسو الناس وهو عارٍ؟,الإبرة
879,ألغاز,أين يقع النهر الذي لا يوجد فيه ماء؟,في الخريطة
880,ألغاز,ما هو الشيء الذي له أسنان ولا يعض؟,المشط
881,ألغاز,"أخت خالك وليست خالتك، من تكون؟",أمك
882,ألغاز,شيء تحمله وفي نفس الوقت يحملك؟,الحذاء
883,ألغاز,ما هو الشيء الذي لا يبتل حتى لو دخل الماء؟,الضوء / الظل
884,ألغاز,شيء تراه في الظلام ولا تراه في النور؟,الظلام
885,ألغاز,ما هو الشيء الذي اسمه على لونه؟,البيض / البرتقال
976,ألغاز,ما هو الشيء الذي يقرصك ولا تراه؟,الجوع
977,ألغاز,"شيء كلما أخذت منه كبر، وكلما وضعت فيه صغر؟",الحفرة
978,ألغاز,ما هو الشيء الذي يكسو الناس وهو عارٍ؟,الإبرة
979,ألغاز,أين يقع النهر الذي لا يوجد فيه ماء؟,في الخريطة
980,ألغاز,ما هو الشيء الذي له أسنان ولا يعض؟,المشط
981,ألغاز,"أخت خالك وليست خالتك، من تكون؟",أمك
982,ألغاز,شيء تحمله وفي نفس الوقت يحملك؟,الحذاء
983,ألغاز,ما هو الشيء الذي لا يبتل حتى لو دخل الماء؟,الضوء / الظل
984,ألغاز,شيء تراه في الظلام ولا تراه في النور؟,الظلام
985,ألغاز,ما هو الشيء الذي اسمه على لونه؟,البيض / البرتقال
م,المجال,السؤال,الإجابة
م,المجال,السؤال,الإجابة
م,المجال,السؤال,الإجابة
م,المجال,السؤال,الإجابة
م,المجال,السؤال,الإجابة
م,المجال,السؤال,الإجابة
م,المجال,السؤال,الإجابة
م,المجال,السؤال,الإجابة
م,المجال,السؤال,الإجابة
11,تاريخ,من هو موحد القطرين في تاريخ مصر القديم؟,الملك مينا (نعرمر)
12,تاريخ,ما هي عاصمة المملكة العربية السعودية؟,الرياض
13,تاريخ,في أي عام قامت ثورة 23 يوليو في مصر؟,عام 1952م
